id,text,intent,source_type,source_category,faq_id
"utt-29","Apa itu kartu asistensi atau kartu bimbingan KP?","kerja_praktek_dan_magang","faq","Kerja Praktek","29"
"utt-30","Apa saja kegiatan dalam kelas Kerja Praktek?","kerja_praktek_dan_magang","faq","Kerja Praktek","30"
"utt-31","Apakah mahasiswa KP wajib mengikuti seminar?","kerja_praktek_dan_magang","faq","Kerja Praktek","31"
"utt-32","Apa yang dilakukan dalam kunjungan industri Kerja Praktek?","kerja_praktek_dan_magang","faq","Kerja Praktek","32"
"utt-33","Bagaimana sistematika laporan Kerja Praktek?","kerja_praktek_dan_magang","faq","Kerja Praktek","33"
"utt-34","Apa saja aturan umum penulisan laporan KP?","kerja_praktek_dan_magang","faq","Kerja Praktek","34"
"utt-35","Apa saja lampiran yang perlu disiapkan dalam laporan KP?","kerja_praktek_dan_magang","faq","Kerja Praktek","35"
"utt-36","Apa isi form nilai industri Kerja Praktek?","kerja_praktek_dan_magang","faq","Kerja Praktek","36"
"utt-37","Apa fungsi form absensi dan aktivitas Kerja Praktek?","kerja_praktek_dan_magang","faq","Kerja Praktek","37"
"utt-38","Bagaimana mekanisme sidang Kerja Praktek?","kerja_praktek_dan_magang","faq","Kerja Praktek","38"
"utt-39","Apa itu Magang Mandiri?","kerja_praktek_dan_magang","faq","Magang Mandiri","39"
"utt-40","Apa tujuan Magang Mandiri?","kerja_praktek_dan_magang","faq","Magang Mandiri","40"
"utt-41","Apa saja syarat mengikuti Magang Mandiri?","kerja_praktek_dan_magang","faq","Magang Mandiri","41"
"utt-42","Mahasiswa semester berapa yang bisa mengikuti Magang Mandiri?","kerja_praktek_dan_magang","faq","Magang Mandiri","42"
"utt-43","Berapa kali mahasiswa boleh mengikuti kegiatan PDPS seperti Magang Mandiri?","kerja_praktek_dan_magang","faq","Magang Mandiri","43"
"utt-44","Apakah mahasiswa yang sedang cuti boleh mengikuti Magang Mandiri?","kerja_praktek_dan_magang","faq","Magang Mandiri","44"
"utt-45","Apa itu Pakta Integritas Magang Mandiri?","kerja_praktek_dan_magang","faq","Magang Mandiri","45"
"utt-46","Apa itu Implementation Arrangement atau IA dalam Magang Mandiri?","kerja_praktek_dan_magang","faq","Magang Mandiri","46"
"utt-47","Apa saja isi dokumen IA Magang Mandiri?","kerja_praktek_dan_magang","faq","Magang Mandiri","47"
"utt-48","Apa itu Form Kesepakatan Rekognisi Magang Mandiri?","kerja_praktek_dan_magang","faq","Magang Mandiri","48"
"utt-49","Apakah Magang Mandiri bisa dikonversi menjadi SKS?","kerja_praktek_dan_magang","faq","Magang Mandiri","49"
"utt-50","Apa fungsi logbook kegiatan Magang Mandiri?","kerja_praktek_dan_magang","faq","Magang Mandiri","50"
"utt-51","Berapa minimal total jam kegiatan pada logbook Magang Mandiri?","kerja_praktek_dan_magang","faq","Magang Mandiri","51"
"utt-52","Bagaimana penilaian Magang Mandiri dari pihak mitra?","kerja_praktek_dan_magang","faq","Magang Mandiri","52"
"utt-53","Bagaimana penilaian Magang Mandiri dari dosen pembimbing?","kerja_praktek_dan_magang","faq","Magang Mandiri","53"
"utt-54","Apa saja isi laporan akhir Magang Mandiri?","kerja_praktek_dan_magang","faq","Magang Mandiri","54"
"utt-55","Apa itu Seminar Proposal?","seminar_proposal","faq","Seminar Proposal","55"
"utt-56","Apa syarat mengambil mata kuliah MPTI atau Seminar Proposal?","seminar_proposal","faq","Seminar Proposal","56"
"utt-57","Berapa minimal SKS dan IPK untuk mengambil Sempro?","seminar_proposal","faq","Seminar Proposal","57"
"utt-58","Bagaimana mekanisme sidang Seminar Proposal?","seminar_proposal","faq","Seminar Proposal","58"
"utt-59","Apa saja materi yang harus disiapkan untuk presentasi Sempro?","seminar_proposal","faq","Seminar Proposal","59"
"utt-60","Berapa lama waktu presentasi Seminar Proposal?","seminar_proposal","faq","Seminar Proposal","60"
"utt-61","Apa saja hasil keputusan sidang Sempro?","seminar_proposal","faq","Seminar Proposal","61"
"utt-62","Berapa lama batas waktu revisi setelah Sempro?","seminar_proposal","faq","Seminar Proposal","62"
"utt-63","Apa itu Formulir Revisi Seminar Proposal?","seminar_proposal","faq","Seminar Proposal","63"
"utt-64","Apakah lembar revisi Sempro penting untuk mengambil Tugas Akhir?","seminar_proposal","faq","Seminar Proposal","64"
"utt-65","Apa itu Kartu Asistensi Seminar Proposal?","seminar_proposal","faq","Seminar Proposal","65"
"utt-66","Berapa minimal bimbingan sebelum Seminar Proposal?","seminar_proposal","faq","Seminar Proposal","66"
"utt-67","Bagaimana agar nilai Sempro bisa optimal?","seminar_proposal","faq","Seminar Proposal","67"
"utt-68","Apa itu Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","68"
"utt-69","Apa tujuan penyusunan Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","69"
"utt-70","Apa saja syarat klik atau mengambil Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","70"
"utt-71","Berapa minimal SKS untuk mengambil Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","71"
"utt-72","Apa saja mata kuliah wajib yang harus diperhatikan sebelum sidang Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","72"
"utt-73","Apa saja skema Tugas Akhir yang tersedia?","tugas_akhir","faq","Tugas Akhir","73"
"utt-74","Apa itu Tugas Akhir Aplikatif?","tugas_akhir","faq","Tugas Akhir","74"
"utt-75","Apa itu Tugas Akhir Riset?","tugas_akhir","faq","Tugas Akhir","75"
"utt-76","Apa itu Tugas Akhir Publikasi Ilmiah?","tugas_akhir","faq","Tugas Akhir","76"
"utt-77","Apa itu Tugas Akhir Media Ilmiah?","tugas_akhir","faq","Tugas Akhir","77"
"utt-78","Apakah Tugas Akhir boleh dikerjakan berkelompok?","tugas_akhir","faq","Tugas Akhir","78"
"utt-79","Berapa maksimal jumlah kata untuk judul Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","79"
"utt-80","Berapa minimal bimbingan Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","80"
"utt-81","Apa itu Kartu Asistensi Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","81"
"utt-82","Bagaimana format umum laporan Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","82"
"utt-83","Apa saja bagian awal laporan Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","83"
"utt-84","Apa saja isi BAB I Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","84"
"utt-85","Apa saja isi BAB II Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","85"
"utt-86","Apa saja isi BAB III Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","86"
"utt-87","Apa saja isi BAB IV Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","87"
"utt-88","Apa saja isi BAB V Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","88"
"utt-89","Apa ketentuan kertas dan pengetikan laporan Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","89"
"utt-90","Berapa maksimal halaman laporan Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","90"
"utt-91","Apa ketentuan daftar pustaka pada Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","91"
"utt-92","Apa saja syarat pendaftaran sidang Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","92"
"utt-93","Apa isi Form Pengajuan Sidang Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","93"
"utt-94","Apakah mahasiswa harus melunasi biaya sebelum sidang Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","94"
"utt-95","Apa itu Formulir Perjanjian Pra Sidang Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","95"
"utt-96","Apa pakaian yang digunakan saat sidang Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","96"
"utt-97","Berapa lama presentasi sidang Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","97"
"utt-98","Siapa saja yang hadir saat sidang Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","98"
"utt-99","Apa yang harus dilakukan setelah sidang Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","99"
"utt-100","Berapa lama batas revisi setelah sidang Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","100"
"utt-101","Apa saja berkas yang harus disiapkan setelah sidang Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","101"
"utt-102","Apa format penamaan file setelah sidang Tugas Akhir?","tugas_akhir","faq","Tugas Akhir","102"
"utt-103","Apa itu kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Kurikulum","103"
"utt-104","Kapan kurikulum 2025 mulai berlaku?","kurikulum_dan_mata_kuliah","faq","Kurikulum","104"
"utt-105","Berapa total SKS pada kurikulum 2025 Informatika S1?","kurikulum_dan_mata_kuliah","faq","Kurikulum","105"
"utt-106","Apa perbedaan kurikulum 2021 dan kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Kurikulum","106"
"utt-107","Apa itu ekuivalensi mata kuliah?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","107"
"utt-108","Untuk apa dokumen ekuivalensi mata kuliah digunakan?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","108"
"utt-109","Apakah semua mata kuliah kurikulum 2021 memiliki padanan di kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","109"
"utt-110","Apa saja mata kuliah semester 1 Informatika kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Kurikulum Informatika","110"
"utt-111","Apa saja mata kuliah semester 2 Informatika kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Kurikulum Informatika","111"
"utt-112","Apa saja mata kuliah semester 3 Informatika kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Kurikulum Informatika","112"
"utt-113","Apa saja mata kuliah semester 4 Informatika kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Kurikulum Informatika","113"
"utt-114","Apa saja mata kuliah semester 5 Informatika kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Kurikulum Informatika","114"
"utt-115","Apa saja mata kuliah semester 6 Informatika kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Kurikulum Informatika","115"
"utt-116","Apa saja mata kuliah semester 7 Informatika kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Kurikulum Informatika","116"
"utt-117","Apa saja mata kuliah semester 8 Informatika kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Kurikulum Informatika","117"
"utt-118","Apa saja mata kuliah yang termasuk bidang AI dan Data pada kurikulum 2025 Informatika?","kurikulum_dan_mata_kuliah","faq","Kurikulum Informatika","118"
"utt-119","Apa saja mata kuliah yang berkaitan dengan pemrograman pada kurikulum 2025 Informatika?","kurikulum_dan_mata_kuliah","faq","Kurikulum Informatika","119"
"utt-120","Apa saja mata kuliah yang berkaitan dengan jaringan dan keamanan pada kurikulum 2025 Informatika?","kurikulum_dan_mata_kuliah","faq","Kurikulum Informatika","120"
"utt-121","Apa ekuivalensi Algoritma dan Pemrograman pada kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","121"
"utt-122","Apa ekuivalensi Sistem Basis Data pada kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","122"
"utt-123","Apa ekuivalensi Dasar Keamanan Komputer pada kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","123"
"utt-124","Apa ekuivalensi Bahasa Inggris pada kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","124"
"utt-125","Apa ekuivalensi Struktur Data dan Algoritma Lanjut pada kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","125"
"utt-126","Apa ekuivalensi CCNA dan mata kuliah jaringan pada kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","126"
"utt-127","Apa ekuivalensi Pemrograman PL/SQL pada kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","127"
"utt-128","Apa ekuivalensi Pengantar Kecerdasan Buatan pada kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","128"
"utt-129","Apa ekuivalensi Analisa Berorientasi Objek pada kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","129"
"utt-130","Apa ekuivalensi Komunikasi dan Etika Profesi pada kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","130"
"utt-131","Apa ekuivalensi Pengantar Data Mining pada kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","131"
"utt-132","Apa ekuivalensi Pemrograman Smart Web pada kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","132"
"utt-133","Apa ekuivalensi Kerja Praktek pada kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","133"
"utt-134","Apa ekuivalensi Metodologi Penelitian Teknologi Informasi pada kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","134"
"utt-135","Apa ekuivalensi Tugas Akhir pada kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Ekuivalensi Mata Kuliah","135"
"utt-136","Apa saja contoh mata kuliah Sistem Informasi kurikulum 2025?","kurikulum_dan_mata_kuliah","faq","Kurikulum Sistem Informasi","136"
"utt-137","Bagaimana cara membaca dokumen kurikulum dan ekuivalensi mata kuliah?","kurikulum_dan_mata_kuliah","faq","Kurikulum","137"
"utt-138","Apa saja jenis surat keterangan yang bisa diajukan mahasiswa?","surat_dan_legalisir","faq","Surat Keterangan","138"
"utt-139","Apa itu Surat Keterangan Mahasiswa Aktif?","surat_dan_legalisir","faq","Surat Keterangan","139"
"utt-140","Bagaimana cara mengajukan Surat Keterangan Mahasiswa Aktif?","surat_dan_legalisir","faq","Surat Keterangan","140"
"utt-141","Apa itu Surat Keterangan Lulus?","surat_dan_legalisir","faq","Surat Keterangan","141"
"utt-142","Bagaimana cara mengajukan Surat Keterangan Lulus?","surat_dan_legalisir","faq","Surat Keterangan","142"
"utt-143","Apa itu Surat Keterangan Mengundurkan Diri, Mutasi, Putus Studi, atau Drop Out?","surat_dan_legalisir","faq","Surat Keterangan","143"
"utt-144","Bagaimana cara mengajukan Surat Keterangan Mengundurkan Diri, Mutasi, Putus Studi, atau Drop Out?","surat_dan_legalisir","faq","Surat Keterangan","144"
"utt-145","Form surat keterangan mana yang digunakan mahasiswa Kampus Meruya?","surat_dan_legalisir","faq","Surat Keterangan","145"
"utt-146","Form surat keterangan mana yang digunakan mahasiswa Kampus Menteng?","surat_dan_legalisir","faq","Surat Keterangan","146"
"utt-147","Form surat keterangan mana yang digunakan mahasiswa Kampus Warung Buncit?","surat_dan_legalisir","faq","Surat Keterangan","147"
"utt-148","Siapa admin yang bisa dihubungi untuk layanan BAP Meruya?","surat_dan_legalisir","faq","Surat Keterangan","148"
"utt-149","Siapa admin yang bisa dihubungi untuk layanan BAP Menteng?","surat_dan_legalisir","faq","Surat Keterangan","149"
"utt-150","Siapa admin yang bisa dihubungi untuk layanan BAP Warung Buncit?","surat_dan_legalisir","faq","Surat Keterangan","150"
"utt-151","Apa yang harus disiapkan sebelum mengisi form surat keterangan?","surat_dan_legalisir","faq","Surat Keterangan","151"
"utt-152","Apakah form surat keterangan harus sesuai kampus?","surat_dan_legalisir","faq","Surat Keterangan","152"
"utt-153","Apa yang harus dilakukan jika salah mengisi form surat keterangan?","surat_dan_legalisir","faq","Surat Keterangan","153"
"utt-154","Apakah Surat Keterangan Lulus sama dengan ijazah?","surat_dan_legalisir","faq","Surat Keterangan","154"
"utt-155","Bagaimana alur umum pengajuan surat keterangan mahasiswa?","surat_dan_legalisir","faq","Surat Keterangan","155"
"utt-156","Apa saja layanan akademik dan pelaporan yang tersedia?","layanan_akademik_dan_kontak","faq","Layanan Akademik dan Pelaporan","156"
"utt-157","Apa itu Form Legalisir Online Fasilkom?","surat_dan_legalisir","faq","Legalisir","157"
"utt-158","Bagaimana cara mengajukan legalisir Fasilkom?","surat_dan_legalisir","faq","Legalisir","158"
"utt-159","Kapan mahasiswa membutuhkan legalisir dokumen?","surat_dan_legalisir","faq","Legalisir","159"
"utt-160","Apa itu layanan cek Turnitin Fasilkom?","surat_dan_legalisir","faq","Turnitin","160"
"utt-161","Bagaimana cara mengajukan cek Turnitin Fasilkom?","surat_dan_legalisir","faq","Turnitin","161"
"utt-162","Untuk dokumen apa saja layanan cek Turnitin digunakan?","surat_dan_legalisir","faq","Turnitin","162"
"utt-163","Apa itu Form Permintaan Buka Blok KRS Teknik Informatika?","status_dan_perpindahan_mahasiswa","faq","Buka Blok KRS","163"
"utt-164","Bagaimana cara mengajukan buka blok KRS Teknik Informatika?","status_dan_perpindahan_mahasiswa","faq","Buka Blok KRS","164"
"utt-165","Kapan mahasiswa perlu mengisi Form Buka Blok KRS?","status_dan_perpindahan_mahasiswa","faq","Buka Blok KRS","165"
"utt-166","Apa itu pelaporan ketidaksesuaian pembelajaran dosen?","layanan_akademik_dan_kontak","faq","Pelaporan Akademik","166"
"utt-167","Kapan mahasiswa dapat mengisi form pelaporan ketidaksesuaian pembelajaran?","layanan_akademik_dan_kontak","faq","Pelaporan Akademik","167"
"utt-168","Apa saja yang perlu disiapkan sebelum membuat laporan pembelajaran dosen?","layanan_akademik_dan_kontak","faq","Pelaporan Akademik","168"
"utt-169","Bagaimana cara menyampaikan laporan akademik yang baik?","layanan_akademik_dan_kontak","faq","Pelaporan Akademik","169"
"utt-170","Apa itu BAK?","layanan_akademik_dan_kontak","faq","BAK","170"
"utt-171","Kapan jam layanan BAK Universitas Mercu Buana?","layanan_akademik_dan_kontak","faq","BAK","171"
"utt-172","Siapa kontak BAK untuk Kampus Meruya?","layanan_akademik_dan_kontak","faq","BAK","172"
"utt-173","Siapa kontak BAK untuk Kampus Menteng dan Warung Buncit?","layanan_akademik_dan_kontak","faq","BAK","173"
"utt-174","Bagaimana memilih layanan yang tepat sesuai kebutuhan mahasiswa?","layanan_akademik_dan_kontak","faq","Layanan Akademik dan Pelaporan","174"
"utt-175","Bagaimana cara membayar biaya kuliah Universitas Mercu Buana?","pembayaran_dan_biaya","faq","Pembayaran dan Biaya Kuliah","175"
"utt-176","Apakah pembayaran kuliah UMB boleh melalui transfer biasa?","pembayaran_dan_biaya","faq","Pembayaran dan Biaya Kuliah","176"
"utt-177","Bagaimana cara membayar kuliah melalui Mobile Banking BNI?","pembayaran_dan_biaya","faq","Pembayaran dan Biaya Kuliah","177"
"utt-178","Bagaimana cara membayar kuliah melalui Teller BNI?","pembayaran_dan_biaya","faq","Pembayaran dan Biaya Kuliah","178"
"utt-179","Bagaimana cara membayar kuliah melalui ATM BNI?","pembayaran_dan_biaya","faq","Pembayaran dan Biaya Kuliah","179"
"utt-180","Apa itu kode prefix atau billing pembayaran UMB?","pembayaran_dan_biaya","faq","Pembayaran dan Biaya Kuliah","180"
"utt-181","Apa kode prefix pembayaran untuk kelas Reguler 1?","pembayaran_dan_biaya","faq","Pembayaran dan Biaya Kuliah","181"
"utt-182","Apa kode prefix pembayaran untuk kelas Reguler 2 atau kelas karyawan?","pembayaran_dan_biaya","faq","Pembayaran dan Biaya Kuliah","182"
"utt-183","Apa yang harus dilakukan jika nominal tagihan pembayaran tidak sesuai?","pembayaran_dan_biaya","faq","Pembayaran dan Biaya Kuliah","183"
"utt-184","Apa saja jenis perubahan status mahasiswa yang tersedia?","status_dan_perpindahan_mahasiswa","faq","Perubahan Status Mahasiswa","184"
"utt-185","Bagaimana cara mengajukan cuti kuliah?","status_dan_perpindahan_mahasiswa","faq","Pengajuan Cuti","185"
"utt-186","Di mana mahasiswa mengajukan cuti kuliah?","status_dan_perpindahan_mahasiswa","faq","Pengajuan Cuti","186"
"utt-187","Menu apa yang dipilih untuk mengajukan cuti di SIA?","status_dan_perpindahan_mahasiswa","faq","Pengajuan Cuti","187"
"utt-188","Siapa saja yang menyetujui pengajuan cuti mahasiswa?","status_dan_perpindahan_mahasiswa","faq","Pengajuan Cuti","188"
"utt-189","Bagaimana cara mengecek status cuti sudah berhasil?","status_dan_perpindahan_mahasiswa","faq","Pengajuan Cuti","189"
"utt-190","Apa yang terjadi setelah pengajuan cuti disetujui?","status_dan_perpindahan_mahasiswa","faq","Pengajuan Cuti","190"
"utt-191","Bagaimana prosedur aktif kembali dari cuti?","status_dan_perpindahan_mahasiswa","faq","Aktif Kembali dari Cuti","191"
"utt-192","Apa langkah pertama untuk aktif kembali setelah cuti?","status_dan_perpindahan_mahasiswa","faq","Aktif Kembali dari Cuti","192"
"utt-193","Apakah mahasiswa yang aktif kembali dari cuti harus mengisi KRS?","status_dan_perpindahan_mahasiswa","faq","Aktif Kembali dari Cuti","193"
"utt-194","Bagaimana prosedur pindah program studi?","status_dan_perpindahan_mahasiswa","faq","Pindah Program Studi","194"
"utt-195","Di mana mahasiswa mengunduh formulir Pindah Program Studi?","status_dan_perpindahan_mahasiswa","faq","Pindah Program Studi","195"
"utt-196","Dokumen apa yang diperlukan untuk pindah program studi?","status_dan_perpindahan_mahasiswa","faq","Pindah Program Studi","196"
"utt-197","Siapa yang harus menyetujui pengajuan pindah program studi?","status_dan_perpindahan_mahasiswa","faq","Pindah Program Studi","197"
"utt-198","Apa tugas Kaprodi atau Sekprodi tujuan dalam proses pindah program studi?","status_dan_perpindahan_mahasiswa","faq","Pindah Program Studi","198"
"utt-199","Link upload berkas Pindah Program Studi untuk tiap kampus apa saja?","status_dan_perpindahan_mahasiswa","faq","Pindah Program Studi","199"
"utt-200","Apakah pindah program studi menyebabkan perubahan NIM?","status_dan_perpindahan_mahasiswa","faq","Pindah Program Studi","200"
"utt-201","Bagaimana mahasiswa mendapatkan NIM dan password setelah pindah program studi?","status_dan_perpindahan_mahasiswa","faq","Pindah Program Studi","201"
"utt-202","Siapa yang melakukan entry KRS setelah mahasiswa pindah program studi?","status_dan_perpindahan_mahasiswa","faq","Pindah Program Studi","202"
"utt-203","Bagaimana prosedur pindah lokasi kampus?","status_dan_perpindahan_mahasiswa","faq","Pindah Lokasi Kampus","203"
"utt-204","Link formulir Pindah Lokasi Kampus untuk tiap kampus apa saja?","status_dan_perpindahan_mahasiswa","faq","Pindah Lokasi Kampus","204"
"utt-205","Siapa yang mengubah status lokasi kuliah mahasiswa?","status_dan_perpindahan_mahasiswa","faq","Pindah Lokasi Kampus","205"
"utt-206","Bagaimana mahasiswa mengetahui pindah lokasi kampus sudah diproses?","status_dan_perpindahan_mahasiswa","faq","Pindah Lokasi Kampus","206"
"utt-207","Apa itu pindah program perkuliahan?","status_dan_perpindahan_mahasiswa","faq","Pindah Program Perkuliahan","207"
"utt-208","Bagaimana prosedur pindah program perkuliahan?","status_dan_perpindahan_mahasiswa","faq","Pindah Program Perkuliahan","208"
"utt-209","Di mana mengunduh formulir Pindah Program Perkuliahan?","status_dan_perpindahan_mahasiswa","faq","Pindah Program Perkuliahan","209"
"utt-210","Apakah pindah dari Reguler 1 ke Reguler 2 perlu Surat Keterangan Kerja?","status_dan_perpindahan_mahasiswa","faq","Pindah Program Perkuliahan","210"
"utt-211","Siapa yang menyetujui pindah program perkuliahan?","status_dan_perpindahan_mahasiswa","faq","Pindah Program Perkuliahan","211"
"utt-212","Ke mana mahasiswa mengunggah formulir pindah program perkuliahan?","status_dan_perpindahan_mahasiswa","faq","Pindah Program Perkuliahan","212"
"utt-213","Bagaimana cara memastikan perubahan status mahasiswa sudah berhasil?","status_dan_perpindahan_mahasiswa","faq","Perubahan Status Mahasiswa","213"
"utt-214","Apa itu FAST Learning Universitas Mercu Buana?","elearning_dan_absensi","faq","E-Learning dan Absensi","214"
"utt-215","Bagaimana cara login ke FAST Learning untuk mahasiswa?","elearning_dan_absensi","faq","E-Learning dan Absensi","215"
"utt-216","Apa username dan password awal FAST Learning mahasiswa?","elearning_dan_absensi","faq","E-Learning dan Absensi","216"
"utt-217","Apa saja menu utama yang ada di FAST Learning?","elearning_dan_absensi","faq","E-Learning dan Absensi","217"
"utt-218","Apa itu Weekly Outline pada FAST Learning?","elearning_dan_absensi","faq","E-Learning dan Absensi","218"
"utt-219","Apa saja jenis perkuliahan pada sistem FAST Learning?","elearning_dan_absensi","faq","E-Learning dan Absensi","219"
