"id","text","text_preprocessed","intent","source_category","faq_id"
"utt-32","Apa yang dilakukan dalam kunjungan industri Kerja Praktek?","laku dalam kunjung industri kerja praktek","kerja_praktek_dan_magang","Kerja Praktek","32"
"utt-33","Bagaimana sistematika laporan Kerja Praktek?","sistematika lapor kerja praktek","kerja_praktek_dan_magang","Kerja Praktek","33"
"utt-34","Apa saja aturan umum penulisan laporan KP?","saja atur umum tulis lapor","kerja_praktek_dan_magang","Kerja Praktek","34"
"utt-35","Apa saja lampiran yang perlu disiapkan dalam laporan KP?","saja lampir perlu siap dalam lapor","kerja_praktek_dan_magang","Kerja Praktek","35"
"utt-36","Apa isi form nilai industri Kerja Praktek?","isi form nilai industri kerja praktek","kerja_praktek_dan_magang","Kerja Praktek","36"
"utt-37","Apa fungsi form absensi dan aktivitas Kerja Praktek?","fungsi form absensi aktivitas kerja praktek","kerja_praktek_dan_magang","Kerja Praktek","37"
"utt-38","Bagaimana mekanisme sidang Kerja Praktek?","mekanisme sidang kerja praktek","kerja_praktek_dan_magang","Kerja Praktek","38"
"utt-39","Apa itu Magang Mandiri?","magang mandiri","kerja_praktek_dan_magang","Magang Mandiri","39"
"utt-40","Apa tujuan Magang Mandiri?","tuju magang mandiri","kerja_praktek_dan_magang","Magang Mandiri","40"
"utt-41","Apa saja syarat mengikuti Magang Mandiri?","saja syarat ikut magang mandiri","kerja_praktek_dan_magang","Magang Mandiri","41"
"utt-42","Mahasiswa semester berapa yang bisa mengikuti Magang Mandiri?","mahasiswa semester berapa bisa ikut magang mandiri","kerja_praktek_dan_magang","Magang Mandiri","42"
"utt-43","Berapa kali mahasiswa boleh mengikuti kegiatan PDPS seperti Magang Mandiri?","berapa kali mahasiswa boleh ikut giat pdps seperti magang mandiri","kerja_praktek_dan_magang","Magang Mandiri","43"
"utt-44","Apakah mahasiswa yang sedang cuti boleh mengikuti Magang Mandiri?","apakah mahasiswa sedang cuti boleh ikut magang mandiri","kerja_praktek_dan_magang","Magang Mandiri","44"
"utt-45","Apa itu Pakta Integritas Magang Mandiri?","pakta integritas magang mandiri","kerja_praktek_dan_magang","Magang Mandiri","45"
"utt-46","Apa itu Implementation Arrangement atau IA dalam Magang Mandiri?","implementation arrangement dalam magang mandiri","kerja_praktek_dan_magang","Magang Mandiri","46"
"utt-47","Apa saja isi dokumen IA Magang Mandiri?","saja isi dokumen magang mandiri","kerja_praktek_dan_magang","Magang Mandiri","47"
"utt-48","Apa itu Form Kesepakatan Rekognisi Magang Mandiri?","form sepakat rekognisi magang mandiri","kerja_praktek_dan_magang","Magang Mandiri","48"
"utt-49","Apakah Magang Mandiri bisa dikonversi menjadi SKS?","apakah magang mandiri bisa konversi jadi sks","kerja_praktek_dan_magang","Magang Mandiri","49"
"utt-50","Apa fungsi logbook kegiatan Magang Mandiri?","fungsi logbook giat magang mandiri","kerja_praktek_dan_magang","Magang Mandiri","50"
"utt-51","Berapa minimal total jam kegiatan pada logbook Magang Mandiri?","berapa minimal total jam giat logbook magang mandiri","kerja_praktek_dan_magang","Magang Mandiri","51"
"utt-52","Bagaimana penilaian Magang Mandiri dari pihak mitra?","ilai magang mandiri pihak mitra","kerja_praktek_dan_magang","Magang Mandiri","52"
"utt-53","Bagaimana penilaian Magang Mandiri dari dosen pembimbing?","ilai magang mandiri dosen bimbing","kerja_praktek_dan_magang","Magang Mandiri","53"
"utt-54","Apa saja isi laporan akhir Magang Mandiri?","saja isi lapor akhir magang mandiri","kerja_praktek_dan_magang","Magang Mandiri","54"
"utt-55","Apa itu Seminar Proposal?","seminar proposal","seminar_proposal","Seminar Proposal","55"
"utt-56","Apa syarat mengambil mata kuliah MPTI atau Seminar Proposal?","syarat ambil mata kuliah mpti seminar proposal","seminar_proposal","Seminar Proposal","56"
"utt-57","Berapa minimal SKS dan IPK untuk mengambil Sempro?","berapa minimal sks ipk ambil sempro","seminar_proposal","Seminar Proposal","57"
"utt-58","Bagaimana mekanisme sidang Seminar Proposal?","mekanisme sidang seminar proposal","seminar_proposal","Seminar Proposal","58"
"utt-59","Apa saja materi yang harus disiapkan untuk presentasi Sempro?","saja materi harus siap presentasi sempro","seminar_proposal","Seminar Proposal","59"
"utt-60","Berapa lama waktu presentasi Seminar Proposal?","berapa lama waktu presentasi seminar proposal","seminar_proposal","Seminar Proposal","60"
"utt-61","Apa saja hasil keputusan sidang Sempro?","saja hasil putus sidang sempro","seminar_proposal","Seminar Proposal","61"
"utt-62","Berapa lama batas waktu revisi setelah Sempro?","berapa lama batas waktu revisi telah sempro","seminar_proposal","Seminar Proposal","62"
"utt-63","Apa itu Formulir Revisi Seminar Proposal?","formulir revisi seminar proposal","seminar_proposal","Seminar Proposal","63"
"utt-64","Apakah lembar revisi Sempro penting untuk mengambil Tugas Akhir?","apakah lembar revisi sempro penting ambil tugas akhir","seminar_proposal","Seminar Proposal","64"
"utt-65","Apa itu Kartu Asistensi Seminar Proposal?","kartu asistensi seminar proposal","seminar_proposal","Seminar Proposal","65"
"utt-66","Berapa minimal bimbingan sebelum Seminar Proposal?","berapa minimal bimbing belum seminar proposal","seminar_proposal","Seminar Proposal","66"
"utt-67","Bagaimana agar nilai Sempro bisa optimal?","agar nilai sempro bisa optimal","seminar_proposal","Seminar Proposal","67"
"utt-68","Apa itu Tugas Akhir?","tugas akhir","tugas_akhir","Tugas Akhir","68"
"utt-69","Apa tujuan penyusunan Tugas Akhir?","tuju susun tugas akhir","tugas_akhir","Tugas Akhir","69"
"utt-70","Apa saja syarat klik atau mengambil Tugas Akhir?","saja syarat klik ambil tugas akhir","tugas_akhir","Tugas Akhir","70"
"utt-71","Berapa minimal SKS untuk mengambil Tugas Akhir?","berapa minimal sks ambil tugas akhir","tugas_akhir","Tugas Akhir","71"
"utt-72","Apa saja mata kuliah wajib yang harus diperhatikan sebelum sidang Tugas Akhir?","saja mata kuliah wajib harus perhati belum sidang tugas akhir","tugas_akhir","Tugas Akhir","72"
"utt-73","Apa saja skema Tugas Akhir yang tersedia?","saja skema tugas akhir tersedia","tugas_akhir","Tugas Akhir","73"
"utt-74","Apa itu Tugas Akhir Aplikatif?","tugas akhir aplikatif","tugas_akhir","Tugas Akhir","74"
"utt-75","Apa itu Tugas Akhir Riset?","tugas akhir riset","tugas_akhir","Tugas Akhir","75"
"utt-76","Apa itu Tugas Akhir Publikasi Ilmiah?","tugas akhir publikasi ilmiah","tugas_akhir","Tugas Akhir","76"
"utt-77","Apa itu Tugas Akhir Media Ilmiah?","tugas akhir media ilmiah","tugas_akhir","Tugas Akhir","77"
"utt-78","Apakah Tugas Akhir boleh dikerjakan berkelompok?","apakah tugas akhir boleh kerja kelompok","tugas_akhir","Tugas Akhir","78"
"utt-79","Berapa maksimal jumlah kata untuk judul Tugas Akhir?","berapa maksimal jumlah kata judul tugas akhir","tugas_akhir","Tugas Akhir","79"
"utt-80","Berapa minimal bimbingan Tugas Akhir?","berapa minimal bimbing tugas akhir","tugas_akhir","Tugas Akhir","80"
"utt-81","Apa itu Kartu Asistensi Tugas Akhir?","kartu asistensi tugas akhir","tugas_akhir","Tugas Akhir","81"
"utt-82","Bagaimana format umum laporan Tugas Akhir?","format umum lapor tugas akhir","tugas_akhir","Tugas Akhir","82"
"utt-83","Apa saja bagian awal laporan Tugas Akhir?","saja bagi awal lapor tugas akhir","tugas_akhir","Tugas Akhir","83"
"utt-84","Apa saja isi BAB I Tugas Akhir?","saja isi bab tugas akhir","tugas_akhir","Tugas Akhir","84"
"utt-85","Apa saja isi BAB II Tugas Akhir?","saja isi bab tugas akhir","tugas_akhir","Tugas Akhir","85"
"utt-86","Apa saja isi BAB III Tugas Akhir?","saja isi bab iii tugas akhir","tugas_akhir","Tugas Akhir","86"
"utt-87","Apa saja isi BAB IV Tugas Akhir?","saja isi bab tugas akhir","tugas_akhir","Tugas Akhir","87"
"utt-88","Apa saja isi BAB V Tugas Akhir?","saja isi bab tugas akhir","tugas_akhir","Tugas Akhir","88"
"utt-89","Apa ketentuan kertas dan pengetikan laporan Tugas Akhir?","tentu kertas tik lapor tugas akhir","tugas_akhir","Tugas Akhir","89"
"utt-90","Berapa maksimal halaman laporan Tugas Akhir?","berapa maksimal halaman lapor tugas akhir","tugas_akhir","Tugas Akhir","90"
"utt-91","Apa ketentuan daftar pustaka pada Tugas Akhir?","tentu daftar pustaka tugas akhir","tugas_akhir","Tugas Akhir","91"
"utt-92","Apa saja syarat pendaftaran sidang Tugas Akhir?","saja syarat daftar sidang tugas akhir","tugas_akhir","Tugas Akhir","92"
"utt-93","Apa isi Form Pengajuan Sidang Tugas Akhir?","isi form aju sidang tugas akhir","tugas_akhir","Tugas Akhir","93"
"utt-94","Apakah mahasiswa harus melunasi biaya sebelum sidang Tugas Akhir?","apakah mahasiswa harus lunas biaya belum sidang tugas akhir","tugas_akhir","Tugas Akhir","94"
"utt-95","Apa itu Formulir Perjanjian Pra Sidang Tugas Akhir?","formulir janji pra sidang tugas akhir","tugas_akhir","Tugas Akhir","95"
"utt-96","Apa pakaian yang digunakan saat sidang Tugas Akhir?","pakai guna saat sidang tugas akhir","tugas_akhir","Tugas Akhir","96"
"utt-97","Berapa lama presentasi sidang Tugas Akhir?","berapa lama presentasi sidang tugas akhir","tugas_akhir","Tugas Akhir","97"
"utt-98","Siapa saja yang hadir saat sidang Tugas Akhir?","siapa saja hadir saat sidang tugas akhir","tugas_akhir","Tugas Akhir","98"
"utt-99","Apa yang harus dilakukan setelah sidang Tugas Akhir?","harus laku telah sidang tugas akhir","tugas_akhir","Tugas Akhir","99"
"utt-100","Berapa lama batas revisi setelah sidang Tugas Akhir?","berapa lama batas revisi telah sidang tugas akhir","tugas_akhir","Tugas Akhir","100"
"utt-101","Apa saja berkas yang harus disiapkan setelah sidang Tugas Akhir?","saja berkas harus siap telah sidang tugas akhir","tugas_akhir","Tugas Akhir","101"
"utt-102","Apa format penamaan file setelah sidang Tugas Akhir?","format ama file telah sidang tugas akhir","tugas_akhir","Tugas Akhir","102"
"utt-103","Apa itu kurikulum 2025?","kurikulum 2025","kurikulum_dan_mata_kuliah","Kurikulum","103"
"utt-104","Kapan kurikulum 2025 mulai berlaku?","kurikulum 2025 mulai laku","kurikulum_dan_mata_kuliah","Kurikulum","104"
"utt-105","Berapa total SKS pada kurikulum 2025 Informatika S1?","berapa total sks kurikulum 2025 informatika","kurikulum_dan_mata_kuliah","Kurikulum","105"
"utt-106","Apa perbedaan kurikulum 2021 dan kurikulum 2025?","beda kurikulum 2021 kurikulum 2025","kurikulum_dan_mata_kuliah","Kurikulum","106"
"utt-107","Apa itu ekuivalensi mata kuliah?","ekuivalensi mata kuliah","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","107"
"utt-108","Untuk apa dokumen ekuivalensi mata kuliah digunakan?","dokumen ekuivalensi mata kuliah guna","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","108"
"utt-109","Apakah semua mata kuliah kurikulum 2021 memiliki padanan di kurikulum 2025?","apakah semua mata kuliah kurikulum 2021 milik padan kurikulum 2025","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","109"
"utt-110","Apa saja mata kuliah semester 1 Informatika kurikulum 2025?","saja mata kuliah semester 1 informatika kurikulum 2025","kurikulum_dan_mata_kuliah","Kurikulum Informatika","110"
"utt-111","Apa saja mata kuliah semester 2 Informatika kurikulum 2025?","saja mata kuliah semester 2 informatika kurikulum 2025","kurikulum_dan_mata_kuliah","Kurikulum Informatika","111"
"utt-112","Apa saja mata kuliah semester 3 Informatika kurikulum 2025?","saja mata kuliah semester 3 informatika kurikulum 2025","kurikulum_dan_mata_kuliah","Kurikulum Informatika","112"
"utt-113","Apa saja mata kuliah semester 4 Informatika kurikulum 2025?","saja mata kuliah semester 4 informatika kurikulum 2025","kurikulum_dan_mata_kuliah","Kurikulum Informatika","113"
"utt-114","Apa saja mata kuliah semester 5 Informatika kurikulum 2025?","saja mata kuliah semester 5 informatika kurikulum 2025","kurikulum_dan_mata_kuliah","Kurikulum Informatika","114"
"utt-115","Apa saja mata kuliah semester 6 Informatika kurikulum 2025?","saja mata kuliah semester 6 informatika kurikulum 2025","kurikulum_dan_mata_kuliah","Kurikulum Informatika","115"
"utt-116","Apa saja mata kuliah semester 7 Informatika kurikulum 2025?","saja mata kuliah semester 7 informatika kurikulum 2025","kurikulum_dan_mata_kuliah","Kurikulum Informatika","116"
"utt-117","Apa saja mata kuliah semester 8 Informatika kurikulum 2025?","saja mata kuliah semester 8 informatika kurikulum 2025","kurikulum_dan_mata_kuliah","Kurikulum Informatika","117"
"utt-118","Apa saja mata kuliah yang termasuk bidang AI dan Data pada kurikulum 2025 Informatika?","saja mata kuliah masuk bidang data kurikulum 2025 informatika","kurikulum_dan_mata_kuliah","Kurikulum Informatika","118"
"utt-119","Apa saja mata kuliah yang berkaitan dengan pemrograman pada kurikulum 2025 Informatika?","saja mata kuliah kait program kurikulum 2025 informatika","kurikulum_dan_mata_kuliah","Kurikulum Informatika","119"
"utt-120","Apa saja mata kuliah yang berkaitan dengan jaringan dan keamanan pada kurikulum 2025 Informatika?","saja mata kuliah kait jaring aman kurikulum 2025 informatika","kurikulum_dan_mata_kuliah","Kurikulum Informatika","120"
"utt-121","Apa ekuivalensi Algoritma dan Pemrograman pada kurikulum 2025?","ekuivalensi algoritma program kurikulum 2025","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","121"
"utt-122","Apa ekuivalensi Sistem Basis Data pada kurikulum 2025?","ekuivalensi sistem basis data kurikulum 2025","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","122"
"utt-123","Apa ekuivalensi Dasar Keamanan Komputer pada kurikulum 2025?","ekuivalensi dasar aman komputer kurikulum 2025","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","123"
"utt-124","Apa ekuivalensi Bahasa Inggris pada kurikulum 2025?","ekuivalensi bahasa inggris kurikulum 2025","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","124"
"utt-125","Apa ekuivalensi Struktur Data dan Algoritma Lanjut pada kurikulum 2025?","ekuivalensi struktur data algoritma lanjut kurikulum 2025","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","125"
"utt-126","Apa ekuivalensi CCNA dan mata kuliah jaringan pada kurikulum 2025?","ekuivalensi ccna mata kuliah jaring kurikulum 2025","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","126"
"utt-127","Apa ekuivalensi Pemrograman PL/SQL pada kurikulum 2025?","ekuivalensi program sql kurikulum 2025","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","127"
"utt-128","Apa ekuivalensi Pengantar Kecerdasan Buatan pada kurikulum 2025?","ekuivalensi antar cerdas buat kurikulum 2025","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","128"
"utt-129","Apa ekuivalensi Analisa Berorientasi Objek pada kurikulum 2025?","ekuivalensi analisa orientasi objek kurikulum 2025","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","129"
"utt-130","Apa ekuivalensi Komunikasi dan Etika Profesi pada kurikulum 2025?","ekuivalensi komunikasi etika profesi kurikulum 2025","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","130"
"utt-131","Apa ekuivalensi Pengantar Data Mining pada kurikulum 2025?","ekuivalensi antar data mining kurikulum 2025","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","131"
"utt-132","Apa ekuivalensi Pemrograman Smart Web pada kurikulum 2025?","ekuivalensi program smart web kurikulum 2025","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","132"
"utt-133","Apa ekuivalensi Kerja Praktek pada kurikulum 2025?","ekuivalensi kerja praktek kurikulum 2025","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","133"
"utt-134","Apa ekuivalensi Metodologi Penelitian Teknologi Informasi pada kurikulum 2025?","ekuivalensi metodologi teliti teknologi informasi kurikulum 2025","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","134"
"utt-135","Apa ekuivalensi Tugas Akhir pada kurikulum 2025?","ekuivalensi tugas akhir kurikulum 2025","kurikulum_dan_mata_kuliah","Ekuivalensi Mata Kuliah","135"
"utt-136","Apa saja contoh mata kuliah Sistem Informasi kurikulum 2025?","saja contoh mata kuliah sistem informasi kurikulum 2025","kurikulum_dan_mata_kuliah","Kurikulum Sistem Informasi","136"
"utt-137","Bagaimana cara membaca dokumen kurikulum dan ekuivalensi mata kuliah?","baca dokumen kurikulum ekuivalensi mata kuliah","kurikulum_dan_mata_kuliah","Kurikulum","137"
"utt-138","Apa saja jenis surat keterangan yang bisa diajukan mahasiswa?","saja jenis surat terang bisa aju mahasiswa","surat_dan_legalisir","Surat Keterangan","138"
"utt-139","Apa itu Surat Keterangan Mahasiswa Aktif?","surat terang mahasiswa aktif","surat_dan_legalisir","Surat Keterangan","139"
"utt-140","Bagaimana cara mengajukan Surat Keterangan Mahasiswa Aktif?","aju surat terang mahasiswa aktif","surat_dan_legalisir","Surat Keterangan","140"
"utt-141","Apa itu Surat Keterangan Lulus?","surat terang lulus","surat_dan_legalisir","Surat Keterangan","141"
"utt-142","Bagaimana cara mengajukan Surat Keterangan Lulus?","aju surat terang lulus","surat_dan_legalisir","Surat Keterangan","142"
"utt-143","Apa itu Surat Keterangan Mengundurkan Diri, Mutasi, Putus Studi, atau Drop Out?","surat terang undur diri mutasi putus studi drop out","surat_dan_legalisir","Surat Keterangan","143"
"utt-144","Bagaimana cara mengajukan Surat Keterangan Mengundurkan Diri, Mutasi, Putus Studi, atau Drop Out?","aju surat terang undur diri mutasi putus studi drop out","surat_dan_legalisir","Surat Keterangan","144"
"utt-145","Form surat keterangan mana yang digunakan mahasiswa Kampus Meruya?","form surat terang mana guna mahasiswa kampus meruya","surat_dan_legalisir","Surat Keterangan","145"
"utt-146","Form surat keterangan mana yang digunakan mahasiswa Kampus Menteng?","form surat terang mana guna mahasiswa kampus menteng","surat_dan_legalisir","Surat Keterangan","146"
"utt-147","Form surat keterangan mana yang digunakan mahasiswa Kampus Warung Buncit?","form surat terang mana guna mahasiswa kampus warung buncit","surat_dan_legalisir","Surat Keterangan","147"
"utt-148","Siapa admin yang bisa dihubungi untuk layanan BAP Meruya?","siapa admin bisa hubung layan bap meruya","surat_dan_legalisir","Surat Keterangan","148"
"utt-149","Siapa admin yang bisa dihubungi untuk layanan BAP Menteng?","siapa admin bisa hubung layan bap menteng","surat_dan_legalisir","Surat Keterangan","149"
"utt-150","Siapa admin yang bisa dihubungi untuk layanan BAP Warung Buncit?","siapa admin bisa hubung layan bap warung buncit","surat_dan_legalisir","Surat Keterangan","150"
"utt-151","Apa yang harus disiapkan sebelum mengisi form surat keterangan?","harus siap belum isi form surat terang","surat_dan_legalisir","Surat Keterangan","151"
"utt-152","Apakah form surat keterangan harus sesuai kampus?","apakah form surat terang harus sesuai kampus","surat_dan_legalisir","Surat Keterangan","152"
"utt-153","Apa yang harus dilakukan jika salah mengisi form surat keterangan?","harus laku jika salah isi form surat terang","surat_dan_legalisir","Surat Keterangan","153"
"utt-154","Apakah Surat Keterangan Lulus sama dengan ijazah?","apakah surat terang lulus sama ijazah","surat_dan_legalisir","Surat Keterangan","154"
"utt-155","Bagaimana alur umum pengajuan surat keterangan mahasiswa?","alur umum aju surat terang mahasiswa","surat_dan_legalisir","Surat Keterangan","155"
"utt-156","Apa saja layanan akademik dan pelaporan yang tersedia?","saja layan akademik lapor tersedia","layanan_akademik_dan_kontak","Layanan Akademik dan Pelaporan","156"
"utt-157","Apa itu Form Legalisir Online Fasilkom?","form legalisir online fasilkom","surat_dan_legalisir","Legalisir","157"
"utt-158","Bagaimana cara mengajukan legalisir Fasilkom?","aju legalisir fasilkom","surat_dan_legalisir","Legalisir","158"
"utt-159","Kapan mahasiswa membutuhkan legalisir dokumen?","mahasiswa butuh legalisir dokumen","surat_dan_legalisir","Legalisir","159"
"utt-160","Apa itu layanan cek Turnitin Fasilkom?","layan cek turnitin fasilkom","surat_dan_legalisir","Turnitin","160"
"utt-161","Bagaimana cara mengajukan cek Turnitin Fasilkom?","aju cek turnitin fasilkom","surat_dan_legalisir","Turnitin","161"
"utt-162","Untuk dokumen apa saja layanan cek Turnitin digunakan?","dokumen saja layan cek turnitin guna","surat_dan_legalisir","Turnitin","162"
"utt-163","Apa itu Form Permintaan Buka Blok KRS Teknik Informatika?","form minta buka blok krs teknik informatika","status_dan_perpindahan_mahasiswa","Buka Blok KRS","163"
"utt-164","Bagaimana cara mengajukan buka blok KRS Teknik Informatika?","aju buka blok krs teknik informatika","status_dan_perpindahan_mahasiswa","Buka Blok KRS","164"
"utt-165","Kapan mahasiswa perlu mengisi Form Buka Blok KRS?","mahasiswa perlu isi form buka blok krs","status_dan_perpindahan_mahasiswa","Buka Blok KRS","165"
"utt-166","Apa itu pelaporan ketidaksesuaian pembelajaran dosen?","lapor ketidaksesuaian ajar dosen","layanan_akademik_dan_kontak","Pelaporan Akademik","166"
"utt-167","Kapan mahasiswa dapat mengisi form pelaporan ketidaksesuaian pembelajaran?","mahasiswa dapat isi form lapor ketidaksesuaian ajar","layanan_akademik_dan_kontak","Pelaporan Akademik","167"
"utt-168","Apa saja yang perlu disiapkan sebelum membuat laporan pembelajaran dosen?","saja perlu siap belum buat lapor ajar dosen","layanan_akademik_dan_kontak","Pelaporan Akademik","168"
"utt-169","Bagaimana cara menyampaikan laporan akademik yang baik?","menyampaikan lapor akademik baik","layanan_akademik_dan_kontak","Pelaporan Akademik","169"
"utt-170","Apa itu BAK?","bak","layanan_akademik_dan_kontak","BAK","170"
"utt-171","Kapan jam layanan BAK Universitas Mercu Buana?","jam layan bak universitas mercu buana","layanan_akademik_dan_kontak","BAK","171"
"utt-172","Siapa kontak BAK untuk Kampus Meruya?","siapa kontak bak kampus meruya","layanan_akademik_dan_kontak","BAK","172"
"utt-173","Siapa kontak BAK untuk Kampus Menteng dan Warung Buncit?","siapa kontak bak kampus menteng warung buncit","layanan_akademik_dan_kontak","BAK","173"
"utt-174","Bagaimana memilih layanan yang tepat sesuai kebutuhan mahasiswa?","pilih layan tepat sesuai butuh mahasiswa","layanan_akademik_dan_kontak","Layanan Akademik dan Pelaporan","174"
"utt-175","Bagaimana cara membayar biaya kuliah Universitas Mercu Buana?","bayar biaya kuliah universitas mercu buana","pembayaran_dan_biaya","Pembayaran dan Biaya Kuliah","175"
"utt-176","Apakah pembayaran kuliah UMB boleh melalui transfer biasa?","apakah bayar kuliah umb boleh lalu transfer biasa","pembayaran_dan_biaya","Pembayaran dan Biaya Kuliah","176"
"utt-177","Bagaimana cara membayar kuliah melalui Mobile Banking BNI?","bayar kuliah lalu mobile banking bni","pembayaran_dan_biaya","Pembayaran dan Biaya Kuliah","177"
"utt-178","Bagaimana cara membayar kuliah melalui Teller BNI?","bayar kuliah lalu teller bni","pembayaran_dan_biaya","Pembayaran dan Biaya Kuliah","178"
